Ticker
BRMK
RPT
KRG
VNO
ARR
WSR
IVR
NXRT
STTK
SAFE
RWT
WLLAW
SBRA
WRAP
GTXI
NTST
KIM
PINE
OPI
ARL
CWENA
GMRE
CIM
APTS
XTSLA
FSP
CTT
ESS
DOC
DRH
CCI
UBA
CLNY
CCCC
TRTX
CPLG
HASI
PMT
PDM
RESI
CLPR
CORR
NYMT
IIPR
KRON
ABR
AVB
ILPT
NHI
WRE
AFIN
PSB
CXP
AKR
DRE
GPMT
SPG
AAT
SHO
CTRE
AVIR
IRM
CRDA
MFA
DYN
CHCT
ORC
CMCT
OLP
BVH
MAA
LTC
ALX
CLDT
RPAI
RHP
MYL
FRT
INN
PEB
UMH
RLJ
MNR
WMC
IRET
DX
ACRE
ARE
RC
AAIC
EQR
CBRE
EARN
GEO
SKT
RDFN
RMR
UNIT
WY
O
REG
GOOD
PEAK
EXR
SBAC
LUNG
WELL
STAG
MLP
KW
PLYM
XHR
TCI
STAR
FTHM
IRT
GTY
MAC
CLI
MSFUT
SRG
KREF
BXMT
TVTX
FPI
DEA
QTS
HR
USD
LXP
FCPT
ALEX
NBL
GNL
TRNO
UHT
CHMI
SNR
BXP
PTVE
RVI
AIV
GEFB
AMT
ADRO
MOGA
ARI
SVC
UDR
UE
NMRK
SLG
EXPI
DLR
SITC
RMAX
BFS
CIO
GRIF
LADR
LAND
PCH
DHC
EPRT
EQIX
JOE
HT
ROIC
HST
NSA
FOR
WLLBW
ASO
STRS
AHH
TWO
ADC
CMO
MMI
CTL
FRPH
ETFC
PSA
CLNC
BRT
ANH
EGP
BHA
BRG
CTO
CWK
RLGY
VTR
CXW
AJX
BNL
PLD
