Ticker
BRPAW
FUBO
MARA
BEEMW
QS
LAZRW
CYTH
BLNKW
NBACW
BEEM
SYTAW
WNW
MVIS
SYTA
BLNK
IEAWW
SMTI
SOL
NBACR
FSRVW
BRPAR
RIOT
OPENW
NPAWW
AMPE
LIXT
FCEL
SI
UAVS
THCBW
ONVO
NNDM
LAZR
MP
INTZ
VUZI
NXTD
MGNI
VLDRW
ACRS
KIRK
SCPS
DQ
NTLA
JMIA
TGTX
INAQW
AQB
GRWG
FTHM
EDIT
ELYS
EXPI
CIICW
LQDT
PLUG
TPGY
INOD
EH
CLPT
DTEA
CLNE
FFHL
FTEK
MDXG
IEA
DFHTW
AEYE
APPS
EVLO
BRPA
EARS
KOPN
FLUX
MWK
PRTY
DAC
ATLC
YGMZ
PACB
CURIW
ENPH
SPWR
XPEL
EVK
CHWY
GRVY
NK
LEU
RMG
SLDB
ROCHW
COGT
FATBW
SBE
DNLI
SFIX
SMMCW
DOMO
TTCFW
PRTH
ARVN
CLSK
VTGN
FTCH
BEAM
WPRT
RDFN
GTEC
TUSK
THBRW
STTK
AMSC
ZDGE
TPIC
APXTW
LOACR
LOACW
SGBX
INBX
TBLTW
EXPCW
CPST
PSNL
DCTH
ARCT
OIIM
OMI
CEREW
BILI
REGI
TWST
NOVA
PRLD
CELH
MSTR
AUMN
CGROW
AWH
AQMS
APPN
CRSP
KYMR
OPTT
RARE
LCAHW
U
CYTHW
STON
TAN
BASI
