Ticker,Name,Sector
CVLG,COVENANT LOGISTICS GROUP INC CLASS,industrials
VTOL,BRISTOW GROUP INC,energy
CVLY,CODORUS VALLEY BANCORP INC,financial-services
BOCH,BANK OF COMMERCE HOLDINGS,financial-services
UBX,UNITY BIOTECHNOLOGY INC,healthcare
EVC,ENTRAVISION COMMUNICATIONS CORP CL,communication-services
RMBI,RICHMOND MUTUAL BANCORPORATION INC,financial-services
FVCB,FVCBANKCORP INC,financial-services
CWCO,CONSOLIDATED WATER LTD,utilities
PVAC,PENN VA CORP,energy
TSHA,TAYSHA GENE THERAPIES INC,healthcare
DSSI,DIAMOND S SHIPPING INC,energy
LAKE,LAKELAND INDUSTRIES INC,consumer-cyclical
CVCY,CENTRAL VALLEY COMMUNITY BANCORP,financial-services
TSBK,TIMBERLAND BANCORP INC,financial-services
HCHC,HC HOLDINGS INC,industrials
AAOI,APPLIED OPTOELECTRONICS INC,technology
ISTR,INVESTAR HOLDING CORP,financial-services
TBNK,TERRITORIAL BANCORP INC,financial-services
GWRS,GLOBAL WATER RESOURCES INC,utilities
RDVT,RED VIOLET INC,industrials
PFHD,PROFESSIONAL HOLDING CORP CLASS A,financial-services
FHTX,FOGHORN THERAPEUTICS,healthcare
MSON,MISONIX INC,healthcare
INZY,INOZYME PHARMA INC,healthcare
PKBK,PARKE BANCORP INC,financial-services
IMRA,IMARA INC,healthcare
IPI,INTREPID POTASH INC,basic-materials
RGCO,RGC RESOURCES INC,utilities
DGICA,DONEGAL GROUP INC CLASS A,financial-services
CNTY,CENTURY CASINOS INC,consumer-cyclical
NATH,NATHANS FAMOUS INC,consumer-cyclical
MPB,MID PENN BANCORP INC,financial-services
AGS,PLAYAGS INC,consumer-cyclical
KIN,KINDRED BIOSCIENCES INC,healthcare
VRA,VERA BRADLEY INC,consumer-cyclical
FLNT,FLUENT INC,communication-services
KVHI,KVH INDUSTRIES INC,technology
PVBC,PROVIDENT BANCORP INC,financial-services
AT,ATLANTIC POWER CORP,utilities
HBIO,HARVARD BIOSCIENCE INC,healthcare
CABA,CABALETTA BIO INC,healthcare
TNAV,TELENAV INC,technology
CSPR,CASPER SLEEP INC,consumer-cyclical
BYSI,BEYONDSPRING INC,healthcare
HBT,HBT FINANCIAL INC,financial-services
QMCO,QUANTUM CORP,technology
PAYS,PAYSIGN INC,technology
HWBK,HAWTHORN BANCSHARES INC,financial-services
NODK,NI HOLDINGS INC,financial-services
BCML,BAYCOM CORP,financial-services
NXTC,NEXTCURE INC,healthcare
KODK,EASTMAN KODAK,technology
ARA,AMERICAN RENAL ASSOCIATES HOLDINGS,healthcare
FENC,FENNEC PHARMACEUTICALS INC,healthcare
WNEB,WESTERN NEW ENGLAND BANCORP INC,financial-services
NWFL,NORWOOD FINANCIAL CORP,financial-services
EVFM,EVOFEM BIOSCIENCES INC,healthcare
RVP,RETRACTABLE TECHNOLOGIES INC,healthcare
FTHM,FATHOM HOLDINGS INC,real-estate
FCCY,1ST CONSTITUTION BANCORP,financial-services
IMMR,IMMERSION CORP,technology
APT,ALPHA PRO TECH LTD,industrials
FRBA,FIRST BANK,financial-services
ALTG,ALTA EQUIPMENT GROUP INC CLASS A,industrials
IIN,INTRICON CORP,healthcare
SRGA,SURGALIGN HOLDINGS INC,healthcare
OPTN,OPTINOSE INC,healthcare
NBN,NORTHEAST BANK,financial-services
CHMI,CHERRY HILL MORTGAGE INVESTMENT RE,financial-services
BCBP,BCB BANCORP INC,financial-services
GRAY,GRAYBUG VISION INC,healthcare
CASI,CASI PHARMACEUTICALS INC,healthcare
HARP,HARPOON THERAPEUTICS INC,healthcare
PIRS,PIERIS PHARMACEUTICALS INC,healthcare
SLCT,SELECT BANCORP INC,financial-services
ESSA,ESSA BANCORP INC,financial-services
ESXB,COMMUNITY BANKERS CORP TRUST,financial-services
EVI,EVI INDUSTRIES INC,industrials
BCLI,BRAINSTORM CELL THERAPEUTICS INC,healthcare
USX,U S XPRESS ENTERPRISES INC CLASS A,industrials
EVBN,EVANS BANCORP INC,financial-services
IVAC,INTEVAC INC,technology
BWFG,BANKWELL FINANCIAL GROUP INC,financial-services
HMTV,HEMISPHERE MEDIA GROUP INC CLASS A,communication-services
FBIZ,FIRST BUSINESS FINANCIAL SERVICES,financial-services
PICO,PICO HOLDINGS INC,industrials
KRMD,REPRO MED SYSTEM INC,healthcare
PCB,PCB BANCORP,financial-services
FSTR,LB FOSTER,industrials
BH,BIGLARI HOLDINGS INCINARY CLASS B,consumer-cyclical
SALT,SCORPIO BULKERS INC,industrials
VRCA,VERRICA PHARMACEUTICALS INC,healthcare
MBIO,MUSTANG BIO INC,healthcare
OCX,ONCOCYTE CORP,healthcare
TREC,TRECORA RESOURCES,basic-materials
FRAF,FRANKLIN FINANCIAL SERVICES CORP,financial-services
CMBM,CAMBIUM NETWORKS CORP,technology
TIG,TREAN INSURANCE GROUP INC,financial-services
HBMD,HOWARD BANCORP INC,financial-services
TIPT,TIPTREE INC,financial-services
NBSE,NEUBASE THERAPEUTICS INC,healthcare
CMCT,CIM COMMERICAL TRUST CORP,real-estate
GPX,GP STRATEGIES CORP,industrials
BTU,PEABODY ENERGY CORP,energy
FLMN,FALCON MINERALS CORP CLASS A,energy
KZR,KEZAR LIFE SCIENCES INC,healthcare
FNWB,FIRST NORTHWEST BAN,financial-services
ALCO,ALICO INC,consumer-defensive
UNTY,UNITY BANCORP INC,financial-services
MGTA,MAGENTA THERAPEUTICS INC,healthcare
STRS,STRATUS PROPERTIES INC,real-estate
MFNC,MACKINAC FINANCIAL CORP,financial-services
AMRK,A MARK PRECIOUS METALS INC,financial-services
SREV,SERVICESOURCE INTERNATIONAL INC,technology
GHM,GRAHAM CORP,industrials
OVLY,OAK VALLEY BANCORP,financial-services
LXRX,LEXICON PHARMACEUTICALS INC,healthcare
FVE,FIVE STAR SENIOR LIVING INC,healthcare
HOOK,HOOKIPA PHARMA INC,healthcare
SFE,SAFEGUARD SCIENTIFICS INC,financial-services
CBIO,CATALYST BIOSCIENCES INC,healthcare
SPRB,SPRUCE BIOSCIENCES INC,healthcare
GTT,GTT COMMUNICATIONS INC,technology
CRDA,CRAWFORD CLASS A,financial-services
SCWX,SECUREWORKS CLASS A CORP,technology
BVH,BLUEGREEN VACATIONS HOLDING CORP C,consumer-cyclical
PROS,PROSIGHT GLOBAL INC,financial-services
IRMD,IRADIMED CORP,healthcare
FRBK,REPUBLIC FIRST BANCORP INC,financial-services
SAMG,SILVERCREST ASSET MANAGEMENT GROUP,financial-services
LIVX,LIVEXLIVE MEDIA INC,communication-services
SNCR,SYNCHRONOSS TECHNOLOGIES INC,technology
ESQ,ESQUIRE FINANCIAL HOLDINGS INC,financial-services
EGLE,EAGLE BULK SHIPPING INC,industrials
PTVCB,PROTECTIVE INSURANCE CORP CLASS B,financial-services
MRLN,MARLIN BUSINESS SERVICES CORP,financial-services
PZN,PZENA INVESTMENT MANAGEMENT INC CL,financial-services
ACTG,ACACIA RESEARCH CORP,industrials
BGSF,BG STAFFING INC,industrials
AQST,AQUESTIVE THERAPEUTICS INC,healthcare
QUAD,QUAD GRAPHICS INC CLASS A,industrials
BPRN,THE BANK OF PRINCETON,financial-services
ZEUS,OLYMPIC STEEL INC,basic-materials
XONE,EXONE,industrials
GNK,GENCO SHIPPING AND TRADING LTD,industrials
LOGC,LOGICBIO THERAPEUTICS INC,healthcare
MBCN,MIDDLEFIELD BANC CORP,financial-services
SMED,SHARPS COMPLIANCE CORP,healthcare
EEX,EMERALD HOLDING INC,communication-services
AAIC,ARLINGTON ASSET INVESTMENT CLASS A,financial-services
CHMG,CHEMUNG FINANCIAL CORP,financial-services
FNCB,FNCB BANCORP INC,financial-services
LFVN,LIFEVANTAGE CORP,consumer-defensive
PSTX,POSEIDA THERAPEUTICS,healthcare
LSF,LAIRD SUPERFOOD INC,consumer-defensive
ADMA,ADMA BIOLOGICS INC,healthcare
EML,EASTERN,industrials
GLYC,GLYCOMIMETICS INC,healthcare
SRT,STARTEK INC,technology
EXTN,EXTERRAN CORP,energy
PCTI,PCTEL INC,technology
CFRX,CONTRAFECT CORP,healthcare
DMTK,DERMTECH INC,healthcare
RVSB,RIVERVIEW BANCORP INC,financial-services
TCFC,COMMUNITY FINANCIAL,financial-services
SCOR,COMSCORE INC,communication-services
NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,consumer-defensive
