Ticker,Company
RELX,RELX PLC
MARK,"Remark Holdings, Inc"
RBBN,Ribbon Communications Inc
RCI,Rogers Communications Inc
ROKU,"Roku, Inc"
SGA,"Saga Communications, Inc"
SALM,"Salem Media Group, Inc"
SCHL,Scholastic Corporation
SJ,Scienjoy Holding Corporation
SCPL,SciPlay Corporation
SE,Sea Limited
SJR,Shaw Communications Inc
SHEN,Shenandoah Telecommunications Company
SSTK,"Shutterstock, Inc"
SIFY,Sify Technologies Limited
SINA,SINA Corporation
SBGI,"Sinclair Broadcast Group, Inc"
SIRI,Sirius XM Holdings Inc
SITO,"SITO Mobile, Ltd"
SKM,"SK Telecom Co.,Ltd"
SNAP,Snap Inc
SOGO,Sogou Inc
SOHU,Sohu.com Limited
LOV,Spark Networks SE
SPOK,"Spok Holdings, Inc"
SPOT,Spotify Technology S.A
SRAX,"SRAX, Inc"
SLGG,"Super League Gaming, Inc"
TTWO,"Take-Two Interactive Software, Inc"
TTGT,"TechTarget, Inc"
TGNA,TEGNA Inc
TEO,Telecom Argentina S.A
VIV,Telefônica Brasil S.A
TEF,"Telefonica, S.A"
TDS,"Telephone and Data Systems, Inc"
TU,TELUS Corporation
TME,Tencent Music Entertainment Group
NCTY,The9 Limited
SSP,The E.W. Scripps Company
IPG,"The Interpublic Group of Companies, Inc"
BATRK,The Liberty Braves Group
BATRA,The Liberty Braves Group
LSXMK,The Liberty SiriusXM Group
LSXMB,The Liberty SiriusXM Group
LSXMA,The Liberty SiriusXM Group
MCS,The Marcus Corporation
NYT,The New York Times Company
RUBI,"the Rubicon Project, Inc"
DIS,The Walt Disney Company
TIMB,TIM S.A. Sponsored ADR
TMUS,"T-Mobile US, Inc"
TSQ,"Townsquare Media, Inc"
TPCO,Tribune Publishing Company
TRVG,trivago N.V
TRUE,"TrueCar, Inc"
TC,TuanChe Limited
TKC,Turkcell Iletisim Hizmetleri A.S
TWLO,Twilio Inc
TWTR,"Twitter, Inc"
UCL,uCloudlink Group Inc. Sponsored ADR Class A
USM,United States Cellular Corporation
UONE,"Urban One, Inc"
UONEK,"Urban One, Inc"
UXIN,Uxin Limited
VEON,VEON Ltd
VZ,Verizon Communications Inc
VIACA,ViacomCBS Inc. Class A
VIAC,ViacomCBS Inc. Class B
VOD,Vodafone Group Plc
VG,Vonage Holdings Corp
WSG,Wanda Sports Group Company Limited
WMG,Warner Music Group Corp. Class A
WB,Weibo Corporation
WOW,"WideOpenWest, Inc"
WIMI,WiMi Hologram Cloud Inc ADR Class B
WWE,"World Wrestling Entertainment, Inc"
WPP,WPP plc
XNET,Xunlei Limited
YNDX,Yandex N.V
YELP,Yelp Inc
DAO,Youdao Inc ADR Class A
YY,YY Inc
Z,"Zillow Group, Inc"
ZG,"Zillow Group, Inc"
ZM,"Zoom Video Communications, Inc"
ZNGA,Zynga Inc
